"n","seq","response_prior","eig"
14,"TTHT","ignorance",0.519396482931814
14,"TTHH","ignorance",0.211059685155119
14,"THTT","ignorance",0.519396482931813
14,"THTH","ignorance",0.477799205509419
14,"THHT","ignorance",0.211059685155119
14,"THHH","ignorance",0.385506683712815
14,"HTTT","ignorance",0.385506683712815
14,"HTTH","ignorance",0.211059685155118
14,"HTHT","ignorance",0.477799205509418
14,"HTHH","ignorance",0.519396482931813
14,"HHTT","ignorance",0.211059685155118
14,"HHTH","ignorance",0.519396482931813
14,"HHHT","ignorance",0.519396482931813
14,"HHHH","ignorance",0.736041954337662
15,"TTTT","ignorance",0.746277298876148
15,"TTTH","ignorance",0.543189444471859
15,"TTHT","ignorance",0.543189444471859
15,"TTHH","ignorance",0.229029270218291
15,"THTT","ignorance",0.543189444471859
15,"THTH","ignorance",0.486966981308239
15,"THHT","ignorance",0.229029270218291
15,"THHH","ignorance",0.41058431349482
15,"HTTT","ignorance",0.41058431349482
15,"HTTH","ignorance",0.22902927021829
15,"HTHT","ignorance",0.486966981308239
15,"HTHH","ignorance",0.543189444471859
15,"HHTT","ignorance",0.22902927021829
15,"HHTH","ignorance",0.543189444471859
15,"HHHT","ignorance",0.543189444471859
15,"HHHH","ignorance",0.746277298876148
16,"TTTT","ignorance",0.755449308160999
16,"TTTH","ignorance",0.565237383564901
16,"TTHT","ignorance",0.565237383564901
16,"TTHH","ignorance",0.246463958420303
16,"THTT","ignorance",0.5652373835649
16,"THTH","ignorance",0.495076183175244
16,"THHT","ignorance",0.246463958420303
16,"THHH","ignorance",0.43426561044622
16,"HTTT","ignorance",0.434265610446219
16,"HTTH","ignorance",0.246463958420302
16,"HTHT","ignorance",0.495076183175243
16,"HTHH","ignorance",0.565237383564901
16,"HHTT","ignorance",0.246463958420302
16,"HHTH","ignorance",0.565237383564901
16,"HHHT","ignorance",0.565237383564901
16,"HHHH","ignorance",0.755449308160999
17,"TTTT","ignorance",0.763706537457162
17,"TTTH","ignorance",0.585697545696651
17,"TTHT","ignorance",0.585697545696651
17,"TTHH","ignorance",0.26330282000015
17,"THTT","ignorance",0.58569754569665
17,"THTH","ignorance",0.502297817384878
17,"THHT","ignorance",0.26330282000015
17,"THHH","ignorance",0.456610089654227
17,"HTTT","ignorance",0.456610089654227
17,"HTTH","ignorance",0.263302820000149
17,"HTHT","ignorance",0.502297817384878
17,"HTHH","ignorance",0.58569754569665
17,"HHTT","ignorance",0.263302820000149
17,"HHTH","ignorance",0.58569754569665
17,"HHHT","ignorance",0.58569754569665
17,"HHHH","ignorance",0.763706537457162
18,"TTTT","ignorance",0.771179974009212
18,"TTTH","ignorance",0.604712463040402
18,"TTHT","ignorance",0.604712463040402
18,"TTHH","ignorance",0.279504272088668
18,"THTT","ignorance",0.604712463040401
18,"THTH","ignorance",0.508786576160604
18,"THHT","ignorance",0.279504272088668
18,"THHH","ignorance",0.477686862940964
18,"HTTT","ignorance",0.477686862940964
18,"HTTH","ignorance",0.279504272088667
18,"HTHT","ignorance",0.508786576160604
18,"HTHH","ignorance",0.604712463040401
18,"HHTT","ignorance",0.279504272088667
18,"HHTH","ignorance",0.604712463040401
18,"HHHT","ignorance",0.604712463040401
18,"HHHH","ignorance",0.771179974009211
19,"TTTT","ignorance",0.77802951959612
19,"TTTH","ignorance",0.622410912575331
19,"TTHT","ignorance",0.622410912575331
19,"TTHH","ignorance",0.295043056055236
19,"THTT","ignorance",0.62241091257533
19,"THTH","ignorance",0.514626499813489
19,"THHT","ignorance",0.295043056055236
19,"THHH","ignorance",0.497569524146852
19,"HTTT","ignorance",0.497569524146852
19,"HTTH","ignorance",0.295043056055235
19,"HTHT","ignorance",0.514626499813489
19,"HTHH","ignorance",0.622410912575331
19,"HHTT","ignorance",0.295043056055235
