"workerid","rt","trial_type","sequence","response_binary","seq_binary","response"
192,14008,"coins","H H T H ",1,"1101","H"
193,6471,"coins","T H T T ",0,"0100","T"
194,6347,"coins","T H T T ",1,"0100","H"
195,12059,"coins","H T H H ",0,"1011","T"
196,10307,"coins","T H H H ",0,"0111","T"
197,19034,"coins","T T H T ",0,"0010","T"
198,8827,"coins","H H T H ",0,"1101","T"
199,16809,"coins","H H H T ",0,"1110","T"
200,21732,"coins","T T H H ",1,"0011","H"
201,8732,"coins","H T H T ",1,"1010","H"
202,17168,"coins","H H T H ",0,"1101","T"
203,10361,"coins","H T H H ",1,"1011","H"
204,7076,"coins","H H H T ",1,"1110","H"
205,23085,"coins","T H T H ",1,"0101","H"
206,8689,"coins","H T T T ",1,"1000","H"
207,12254,"coins","H T H T ",1,"1010","H"
208,6363,"coins","H H T T ",1,"1100","H"
209,22233,"coins","T H H T ",1,"0110","H"
210,14836,"coins","T T T H ",0,"0001","T"
211,15231,"coins","T T T T ",1,"0000","H"
212,11508,"coins","T H H T ",1,"0110","H"
213,5778,"coins","T T T H ",0,"0001","T"
214,9074,"coins","T H H H ",1,"0111","H"
215,5131,"coins","H H H H ",1,"1111","H"
216,22247,"coins","H T H H ",0,"1011","T"
217,7203,"coins","H T T T ",0,"1000","T"
218,8252,"coins","H T T H ",0,"1001","T"
219,10196,"coins","T T T T ",0,"0000","T"
220,13703,"coins","T H H H ",0,"0111","T"
221,15787,"coins","H H T T ",0,"1100","T"
222,10956,"coins","H H H H ",0,"1111","T"
223,18927,"coins","H T H T ",1,"1010","H"
224,10900,"coins","H T T T ",1,"1000","H"
225,12114,"coins","H T T H ",1,"1001","H"
226,20637,"coins","T H T H ",1,"0101","H"
227,11451,"coins","T T H T ",0,"0010","T"
228,4982,"coins","H H H H ",1,"1111","H"
229,10598,"coins","T T T H ",1,"0001","H"
230,8554,"coins","H T H T ",0,"1010","T"
231,10759,"coins","H T H H ",0,"1011","T"
232,8771,"coins","T T H H ",1,"0011","H"
233,13343,"coins","T T T H ",1,"0001","H"
234,20105,"coins","H H H H ",0,"1111","T"
235,13955,"coins","T H H H ",0,"0111","T"
236,8291,"coins","T H T T ",1,"0100","H"
237,20298,"coins","H T H H ",0,"1011","T"
238,10810,"coins","T T H H ",1,"0011","H"
239,8329,"coins","H T H T ",1,"1010","H"
240,19472,"coins","H H T T ",0,"1100","T"
241,8709,"coins","H T H T ",1,"1010","H"
242,19746,"coins","H H T T ",0,"1100","T"
243,12344,"coins","H T T T ",1,"1000","H"
244,25681,"coins","T T T T ",1,"0000","H"
245,16878,"coins","H T T H ",0,"1001","T"
246,11154,"coins","T T T T ",0,"0000","T"
247,9189,"coins","H T H T ",1,"1010","H"
248,21899,"coins","H H H H ",0,"1111","T"
249,21652,"coins","T H H H ",0,"0111","T"
250,7781,"coins","T T T T ",0,"0000","T"
251,21425,"coins","T H T H ",1,"0101","H"
252,15409,"coins","T T H T ",1,"0010","H"
253,1778,"coins","T T H T ",1,"0010","H"
254,27961,"coins","T T H H ",0,"0011","T"
255,11852,"coins","T H T H ",0,"0101","T"
256,8951,"coins","H H T T ",1,"1100","H"
257,9974,"coins","T H T H ",0,"0101","T"
258,18050,"coins","T T T T ",0,"0000","T"
259,12835,"coins","T H T T ",0,"0100","T"
260,7785,"coins","T H T H ",1,"0101","H"
261,11734,"coins","H H H H ",0,"1111","T"
262,18243,"coins","H H T T ",0,"1100","T"
263,8677,"coins","T H T H ",0,"0101","T"
264,22997,"coins","H T T T ",1,"1000","H"
265,16431,"coins","T T H H ",0,"0011","T"
266,16346,"coins","T T H H ",1,"0011","H"
267,13760,"coins","T T H H ",1,"0011","H"
268,13716,"coins","T T T H ",1,"0001","H"
269,16268,"coins","H H T T ",0,"1100","T"
270,14330,"coins","H T T T ",1,"1000","H"
271,13366,"coins","H T H H ",0,"1011","T"
272,26775,"coins","H H H T ",0,"1110","T"
273,24264,"coins","T T H T ",1,"0010","H"
274,25570,"coins","H T H T ",1,"1010","H"
275,7252,"coins","H T H H ",1,"1011","H"
276,10301,"coins","T T H T ",1,"0010","H"
277,6561,"coins","T T T T ",0,"0000","T"
278,8410,"coins","T T H T ",1,"0010","H"
279,14075,"coins","T T H H ",1,"0011","H"
280,7882,"coins","H H H T ",0,"1110","T"
281,12512,"coins","H T T H ",0,"1001","T"
282,12557,"coins","H H T T ",1,"1100","H"
283,19901,"coins","H H T T ",0,"1100","T"
284,9361,"coins","H H H H ",0,"1111","T"
285,12683,"coins","T T H T ",1,"0010","H"
286,9172,"coins","H H H H ",0,"1111","T"
287,9567,"coins","T H T T ",1,"0100","H"
288,18697,"coins","H T H T ",0,"1010","T"
289,12033,"coins","H T T T ",0,"1000","T"
290,13555,"coins","H H T T ",0,"1100","T"
291,11295,"coins","T H T T ",1,"0100","H"
292,9020,"coins","H T T T ",0,"1000","T"
293,9407,"coins","H T H T ",1,"1010","H"
294,10744,"coins","H T T T ",1,"1000","H"
295,11013,"coins","H T T T ",0,"1000","T"
296,7213,"coins","H H H T ",1,"1110","H"
297,23553,"coins","T H T T ",0,"0100","T"
298,8654,"coins","H H H T ",1,"1110","H"
299,5268,"coins","H T H T ",0,"1010","T"
300,9861,"coins","H H T T ",1,"1100","H"
301,9570,"coins","T T H T ",1,"0010","H"
